product_id,ingredient_name,therapeutic_class
144d00c4,Aceclofenac,analgesic
fa6173cf,Diclofenac,analgesic
1d4f207e,Ibandronic Acid,Beta-blocker
7a0b6529,Cyproheptadine,Antifungal
bd18638a,Telmisartan,antihypertensive
da27fdb2,Artemether,Antifungal
1a93fdc3,Doxylamine,Anxiolytic
301c5dc4,Ondansetron,Antiviral
e797e142,Roxithromycin,Antiviral
175a97c8,Ciclosporin,Anxiolytic
ccdece04,Desloratadine,Antiviral
6d401ab1,Tacrolimus,Anxiolytic
5a2468b1,Norgestrel,Antifungal
f5e2817c,Etoricoxib,analgesic
32ddfd35,Rifampicin,Antifungal
28323c08,Balofloxacin,Antifungal
88701f90,Escitalopram Oxalate,antidepressant
959e92a7,Mometasone,Beta-blocker
f2921a73,Mirtazapine,Antifungal
e40ed734,Clopidogrel,Antifungal
0833f1a9,Ivermectin,Anxiolytic
b2c1a364,Bromelain,Antiviral
2ca4da3d,Clonazepam,antidepressant
83fe2312,Methylprednisolone,corticosteroid
fa9c8ab9,Amoxycillin,antibiotic
f3696072,Formoterol,Antifungal
9df75fd9,Calcium,Antiviral
5db5c783,Cefpodoxime Proxetil,Antiviral
7d82fe19,Domperidone,antacid
47113c6a,Ampicillin,Antifungal
553e9659,Mebeverine,Anxiolytic
58e162d8,Clindamycin,Antifungal
18f645f9,Deflazacort,Antiviral
9a1332a8,Ofloxacin,Beta-blocker
d95cb406,Calcium Carbonate,Antifungal
6b5e94ad,Lacosamide,Beta-blocker
56188ed8,Alprazolam,Antiviral
4d94ab42,Sodium Chloride,Beta-blocker
4c4f8ba8,Amlodipine,antihypertensive
eac115c6,Betahistine,Anxiolytic
f201f4aa,Doxylamine,Anxiolytic
0443273d,Tramadol,analgesic
3eda3f70,Gatifloxacin,Anxiolytic
f8827e79,Leflunomide,Antifungal
58ecb02d,Chlorpheniramine Maleate,antihistamine
ab84eb51,Cefoperazone,Antiviral
794368c9,Alprazolam,Antifungal
36060aa9,Lansoprazole,Antiviral
800e5d24,Chlorzoxazone,analgesic
66223c8e,Isoflurane,Antiviral
79a8b11e,Cefixime,antibiotic
fd8eb3f5,Aceclofenac,antacid
bef42c8d,Clobetasol,Beta-blocker
fc234eb2,Risperidone,Anxiolytic
d2c163af,Bisoprolol,Anxiolytic
093c5aba,Minoxidil,Antiviral
f37dc8b0,Risedronate,Antiviral
6ba5ee37,Folic Acid,Anxiolytic
9239f57e,Glimepiride,antidiabetic
f2589dfd,Cefalexin,Antifungal
cb2ccc6a,Mirtazapine,Anxiolytic
cd2cabd0,Paracetamol,analgesic
d1666f97,Cefpodoxime Proxetil,Antifungal
841fb69f,Clindamycin,Antifungal
93f23a31,Fluconazole,Beta-blocker
6aa61fd3,Ambroxol,Antifungal
4a418d7f,Diclofenac,analgesic
9b144076,Urofollitropin,Anxiolytic
6a0470eb,Etoricoxib,Anxiolytic
ad734269,Serratiopeptidase,Anxiolytic
4eeb7793,Glimepiride,antidiabetic
8e8f25cd,Isoxsuprine,Antifungal
de51f4cf,Eptifibatide,Beta-blocker
2692ee00,Aceclofenac,analgesic
1791059b,Beclometasone,corticosteroid
c76a8c18,Betamethasone,Antifungal
5e371902,Moxonidine,Antifungal
815f6c1f,Thiocolchicoside,analgesic
2b70007d,Fluocinolone acetonide,Beta-blocker
17c35de2,Levocetirizine,antihistamine
958a8e41,Amisulpride,Antifungal
f3edcc13,Triclosan,Beta-blocker
e14ca0ee,Ivermectin,Anxiolytic
32965411,Betamethasone,Anxiolytic
441d4261,Labetalol,Antiviral
2b8a81a4,Metronidazole,Antifungal
178498ed,Nimesulide,analgesic
6b547356,Fosfomycin,Antifungal
c17df664,Cetirizine,antihistamine
8ef73d5f,Atorvastatin,Antiviral
39792919,Eicosapentaenoic Acid,Antiviral
f62dfe6e,Folic Acid,Anxiolytic
4f562075,Insulin Degludec,Anxiolytic
abe795af,Rabeprazole,antacid
74f9c09d,Drotaverine,Antifungal
d3641712,Azithromycin,antibiotic
5e7ecf14,Doxycycline,Antiviral
93a9d092,Mesalazine,Antifungal
32255fb9,Famciclovir,Beta-blocker
7d311b70,Fexofenadine,antihistamine
078fabf6,Hydroquinone,Anxiolytic
cac5bbaa,Domperidone,antacid
1acf1137,Desidustat,Antifungal
3fcbce63,Erlotinib,Antifungal
f504b7e6,Linezolid,Antiviral
6f289688,Etoricoxib,Beta-blocker
cc1a7bed,Cefixime,antibiotic
194b825f,Atorvastatin,Anxiolytic
66bdf775,Hydrocortisone,Antiviral
b960e566,Telmisartan,antihypertensive
fa5ca043,Amlodipine,antihypertensive
bc560943,Dicyclomine,analgesic
fbabce4a,Ketoconazole,Anxiolytic
816a0db7,Azathioprine,Antifungal
01f1c5d0,Insulin Aspart,Antiviral
81e8623a,Clarithromycin,Anxiolytic
b6bcc984,Escitalopram Oxalate,antidepressant
3023567a,Metoprolol Succinate,Antiviral
22bdd7fb,Trioxasalen,Antifungal
a357a19d,Sertaconazole,Anxiolytic
a5d76e4d,Lisinopril,diuretic
72749c01,Nandrolone Decanoate,Antifungal
9da33ac9,Aceclofenac,analgesic
0a40040c,Diclofenac diethylamine,analgesic
743ba1af,Carboxymethylcellulose,Antiviral
8dfba95c,Topiramate,Anxiolytic
91f6eeae,Cefotaxime,Antiviral
7271d8bd,Amoxycillin,antibiotic
2528f15a,Montelukast,antihistamine
32392f27,Desvenlafaxine,Antiviral
aae2f2d7,Cilnidipine,Anxiolytic
b8460eb8,Enalapril,Beta-blocker
4f2e0f45,Methylprednisolone,corticosteroid
