id,name
1,Vatican Life Sciences Pvt Ltd
2,Cipla Ltd
3,
4,Doctomed
5,Medley Pharmaceuticals
6,Biocin Genetics & Pharma
7,Moreish Pharmaceuticals Pvt Ltd
8,Aggrowin Pharma
9,Medios Laboratories Pvt Ltd
10,Biophar Lifesciences Pvt Ltd
11,Unicure India Pvt Ltd
12,Riasmo Lifesciences
13,Hippo Labs Pvt Ltd
14,Man Serve Pharma
15,Systopic Laboratories Pvt Ltd
16,Intas Pharmaceuticals Ltd
17,MMC Healthcare Ltd
18,Medicross Pharmaceuticals
19,Abaris Healthcare
20,AstraZeneca
21,Lifecare Innovations Pvt Ltd
22,Proctor Organics P Ltd
23,Healthkind Labs Pvt Ltd
24,Biochem Pharmaceutical Industries
25,Ramose Laboratories Pvt Ltd
26,Ventus Pharmaceuticals Pvt Ltd
27,Kentreck Laboratories Pvt Ltd
28,Nirlife Healthcare
29,Tycoon Pharmaceuticals Pvt Ltd
30,Archmed Biotech Pvt Ltd
31,Tas Med India Pvt Ltd
32,Maneesh Pharmaceuticals Ltd
33,DR Best pharmaceuticals Pvt Ltd
34,Axis Life Science Pvt Ltd
35,Shatayushi Healthcare Pvt Ltd
36,Ravenmac Pharmaceuticals Pvt Ltd
37,Ridhima Biocare
38,Psycormedies
39,Knoll Pharmaceuticals Ltd
40,Rockmed Pharma Pvt. Ltd.
41,Medsol India Overseas Pvt Ltd
42,Gms Biomax Medicare Pvt Ltd
43,Oxford Pharmaceuticals Pvt Ltd
44,Makers Laboratories Ltd
45,Silicon Pharma
46,German Remedies
47,Ester Formulations
48,Ultra Biotech Formulations
49,Win-Medicare Pvt Ltd
50,Sanzyme Ltd
51,Wellmark Lifesciences Private Limited
52,PDC Healthcare
53,Sanofi India Ltd
54,Altar Pharmaceuticals Pvt Ltd
55,Biocon
56,Delcure Life Sciences
57,Laborate Pharmaceuticals India Ltd
58,Elkos Healthcare Pvt Ltd
59,Glenmark Pharmaceuticals Ltd
60,Duken Pharmaceuticals
61,Ipca Laboratories Ltd
62,Micro Labs Ltd
63,Sun Pharmaceutical Industries Ltd
64,Samarth Life Sciences Pvt Ltd
65,Anoco Pharmaceuticals India Pvt Ltd
66,Shrinivas Gujarat Laboratories Pvt Ltd
67,Colors Life Sciences
68,Novo Nordisk India Pvt Ltd
69,Minova Life Sciences Pvt Ltd
70,Emcure Pharmaceuticals Ltd
71,Roseate Medicare
72,Mac Laboratories Ltd
73,Ferring Pharmaceuticals
74,Henry Pharmaceuticals
75,Entod Pharmaceuticals Ltd
76,Amwill Healthcare
77,Edinburgh Pharmaceuticals
78,P R G Pharma Pvt Ltd
79,Rangsubbs
80,Theon Pharmaceuticals Ltd.
81,Avin Pharmaceuticals
82,Macleods Pharmaceuticals Pvt Ltd
83,Positif Life sciences
84,Rowan Bioceuticals Pvt Ltd
85,Biocin Healthcare
86,Helios Pharmaceuticals
87,Prosaic Pharmaceuticals Pvt Ltd
88,Alter Ego Pharmaceuticals
89,Unimax Laboratories pvt ltd Ltd
90,Dr. Johns Laboratories Pvt Ltd
91,Sunways India Pvt Ltd
